index,file_name,zero_angle,x_cms,y_cms,z_cms,delta_x,delta_y,moment0,moment1,moment2,moment3,moment4,moment5,mom0,mom1,mom2,mom3,mom4,mom5,eul0,eul1,eul2,orient0,orient1,orient2,orient3,orient4,orient5,orient6,orient7,orient8
0,598csv/1484717/1491988,8,129.8319869,43.93653293,154.3171299,0,0,504089976,164563652,575078730,64724646,200929929,724817978,11682431.39,-2072327.496,-10192441.53,8333248.332,2867904.959,29169936.11,-0.329273258,-0.316769871,0.523978557,0.417001434,-0.822757154,0.386238876,-0.13249349,-0.47543578,-0.869716215,-0.899197019,-0.311498772,0.307267369
1,598csv/1484717/1491988,8,129.8319869,43.93653293,154.3171299,0,0,504089976,164563652,575078730,64724646,200929929,724817978,11682431.39,-2072327.496,-10192441.53,8333248.332,2867904.959,29169936.11,-0.329273258,-0.316769871,0.523978557,0.417001434,-0.822757154,0.386238876,-0.13249349,-0.47543578,-0.869716215,-0.899197019,-0.311498772,0.307267369
2,598csv/1484717/1491988,8,129.8319869,43.93653293,154.3171299,0,0,504089976,164563652,575078730,64724646,200929929,724817978,11682431.39,-2072327.496,-10192441.53,8333248.332,2867904.959,29169936.11,-0.329273258,-0.316769871,0.523978557,0.417001434,-0.822757154,0.386238876,-0.13249349,-0.47543578,-0.869716215,-0.899197019,-0.311498772,0.307267369
3,598csv/1484717/1491988,8,129.8319869,43.93653293,154.3171299,0,0,504089976,164563652,575078730,64724646,200929929,724817978,11682431.39,-2072327.496,-10192441.53,8333248.332,2867904.959,29169936.11,-0.329273258,-0.316769871,0.523978557,0.417001434,-0.822757154,0.386238876,-0.13249349,-0.47543578,-0.869716215,-0.899197019,-0.311498772,0.307267369
4,598csv/1484717/1491988,8,129.8319869,43.93653293,154.3171299,0,0,504089976,164563652,575078730,64724646,200929929,724817978,11682431.39,-2072327.496,-10192441.53,8333248.332,2867904.959,29169936.11,-0.329273258,-0.316769871,0.523978557,0.417001434,-0.822757154,0.386238876,-0.13249349,-0.47543578,-0.869716215,-0.899197019,-0.311498772,0.307267369
5,598csv/1484717/1491988,8,129.8319869,43.93653293,154.3171299,0,0,504089976,164563652,575078730,64724646,200929929,724817978,11682431.39,-2072327.496,-10192441.53,8333248.332,2867904.959,29169936.11,-0.329273258,-0.316769871,0.523978557,0.417001434,-0.822757154,0.386238876,-0.13249349,-0.47543578,-0.869716215,-0.899197019,-0.311498772,0.307267369
6,598csv/1484717/1491988,8,129.8319869,43.93653293,154.3171299,0,0,504089976,164563652,575078730,64724646,200929929,724817978,11682431.39,-2072327.496,-10192441.53,8333248.332,2867904.959,29169936.11,-0.329273258,-0.316769871,0.523978557,0.417001434,-0.822757154,0.386238876,-0.13249349,-0.47543578,-0.869716215,-0.899197019,-0.311498772,0.307267369
7,598csv/1484717/1491988,8,129.8319869,43.93653293,154.3171299,0,0,504089976,164563652,575078730,64724646,200929929,724817978,11682431.39,-2072327.496,-10192441.53,8333248.332,2867904.959,29169936.11,-0.329273258,-0.316769871,0.523978557,0.417001434,-0.822757154,0.386238876,-0.13249349,-0.47543578,-0.869716215,-0.899197019,-0.311498772,0.307267369
8,598csv/1484717/1491988,8,129.8319869,43.93653293,154.3171299,0,0,504089976,164563652,575078730,64724646,200929929,724817978,11682431.39,-2072327.496,-10192441.53,8333248.332,2867904.959,29169936.11,-0.329273258,-0.316769871,0.523978557,0.417001434,-0.822757154,0.386238876,-0.13249349,-0.47543578,-0.869716215,-0.899197019,-0.311498772,0.307267369
9,598csv/1484717/1491988,8,129.8319869,43.93653293,154.3171299,0,0,504089976,164563652,575078730,64724646,200929929,724817978,11682431.39,-2072327.496,-10192441.53,8333248.332,2867904.959,29169936.11,-0.329273258,-0.316769871,0.523978557,0.417001434,-0.822757154,0.386238876,-0.13249349,-0.47543578,-0.869716215,-0.899197019,-0.311498772,0.307267369
